48.75,16.25,6.8345
48.9,16.3,6.66502
49.05,16.35,6.49456
49.2,16.4,6.32312
49.35,16.45,6.1507
49.5,16.5,5.9773
49.65,16.55,5.80292
49.8,16.6,5.62756
49.95,16.65,5.45122
50.1,16.7,5.2739
50.25,16.75,5.0956
50.4,16.8,4.91632
50.55,16.85,4.73606
50.7,16.9,4.55482
50.85,16.95,4.3726
51,17,4.1894
51.15,17.05,4.00522
51.3,17.1,3.82006
51.45,17.15,3.63392
51.6,17.2,3.4468
51.75,17.25,3.2587
51.9,17.3,3.06962
52.05,17.35,2.87956
52.2,17.4,2.68852
52.35,17.45,2.4965
52.5,17.5,2.3035
52.65,17.55,2.10952
52.8,17.6,1.91456
52.95,17.65,1.71862
53.1,17.7,1.5217
53.25,17.75,1.3238
53.4,17.8,1.12492
53.55,17.85,0.92506
53.7,17.9,0.72422
53.85,17.95,0.5224
54,18,0.3196
54.15,18.05,0.11582
54.3,18.1,-0.08894
